Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,14.660000,15.100000,14.600000,14.940000,11.428440,3758400
2000-01-04,15.000000,15.093333,14.216666,14.356666,10.982219,3538335
2000-01-05,13.666666,14.800000,13.666666,14.120000,10.801177,3580725
2000-01-06,14.266666,15.250000,14.266666,15.130000,11.573781,10005150
2000-01-07,15.000000,15.266666,14.340000,14.473333,11.071462,9049230
2000-01-10,15.000000,15.266666,13.540000,14.693333,11.239751,8293575
2000-01-11,14.340000,14.860000,13.696666,14.116666,10.798628,6966765
2000-01-12,14.466666,14.793333,14.333333,14.666666,11.219354,4449855
2000-01-13,14.926666,15.000000,13.800000,13.916666,10.645636,9651285
2000-01-14,14.200000,14.266666,13.870000,14.126666,10.806279,4792095
2000-01-17,14.326666,14.643333,13.966666,14.046666,10.745079,7593495
2000-01-18,14.200000,14.326666,14.000000,14.096666,10.783327,7941915
2000-01-19,14.600000,15.226666,14.396666,14.923333,11.415695,13697310
2000-01-20,15.000000,15.000000,14.366666,14.406666,11.020465,3542265
2000-01-21,14.400000,14.460000,14.220000,14.320000,10.954171,5770590
2000-01-24,14.366666,14.400000,13.733333,13.836666,10.584440,4634925
2000-01-25,13.733333,13.860000,13.466666,13.530000,10.349853,6922935
2000-01-26,13.530000,13.530000,13.530000,13.530000,10.349853,0
2000-01-27,13.856666,13.933333,13.153333,13.296666,10.171363,7318995
2000-01-28,13.070000,13.070000,12.600000,12.686666,9.704742,6851745
2000-01-31,12.666666,12.700000,11.673333,11.673333,8.929585,3838125
2000-02-01,11.400000,12.610000,11.166666,12.273333,9.388560,17598525
2000-02-02,12.660000,13.256666,12.266666,12.806666,9.796536,29959530
2000-02-03,12.933333,13.533333,12.866666,13.126666,10.041321,18779760
2000-02-04,13.100000,13.266666,12.233333,12.376666,9.467605,15370305
2000-02-07,12.493333,12.706666,12.233333,12.286666,9.398759,7285755
2000-02-08,12.533333,12.533333,12.036666,12.323333,9.426805,12337485
2000-02-09,12.533333,12.980000,12.403333,12.600000,9.638448,10387875
2000-02-10,12.566666,12.766666,12.183333,12.240000,9.363059,4897215
2000-02-11,12.400000,12.600000,11.800000,11.893333,9.097878,7741725
2000-02-14,11.403333,11.963333,11.210000,11.316666,8.656751,4732065
2000-02-15,11.200000,11.666666,10.413333,10.520000,8.047337,12543765
2000-02-16,10.933333,11.066666,10.200000,10.500000,8.032038,19986735
2000-02-17,10.526666,10.930000,10.340000,10.473333,8.011642,8110830
2000-02-18,10.300000,10.353333,9.636666,9.663333,7.392025,20385615
2000-02-21,9.800000,10.436666,9.800000,10.430000,7.978493,18992340
2000-02-22,10.600000,10.650000,9.820000,9.916666,7.585811,18456480
2000-02-23,10.346666,10.466666,9.866666,9.910000,7.580714,8072985
2000-02-24,10.053333,10.186666,9.796666,10.050000,7.687809,4479060
2000-02-25,10.136666,10.260000,9.666666,9.710000,7.427722,6084495
2000-02-28,9.783333,10.466666,9.533333,10.390000,7.947892,9989775
2000-02-29,10.466666,10.833333,9.560000,9.700000,7.420073,12688800
2000-03-01,9.863333,10.000000,9.333333,9.486666,7.256882,11400045
2000-03-02,9.700000,9.726666,8.730000,8.730000,6.678065,13463100
2000-03-03,8.533333,8.666666,8.100000,8.183333,6.259889,11421660
2000-03-06,8.366666,8.840000,8.366666,8.820000,6.746911,10848210
2000-03-07,8.666666,8.913333,8.200000,8.290000,6.341487,11092890
2000-03-08,8.526666,8.953333,8.340000,8.843333,6.764761,10567695
2000-03-09,9.200000,9.200000,8.386666,8.790000,6.723963,8422290
2000-03-10,8.993333,8.993333,8.170000,8.230000,6.295588,6982650
2000-03-13,8.333333,8.466666,8.133333,8.160000,6.242042,4996710
2000-03-14,8.243333,8.610000,8.070000,8.340000,6.379733,13221630
2000-03-15,8.533333,8.910000,8.333333,8.383333,6.412881,14885685
2000-03-16,8.370000,8.500000,8.140000,8.203333,6.275188,7792800
2000-03-17,8.203333,8.203333,8.203333,8.203333,6.275188,0
2000-03-20,8.203333,8.203333,8.203333,8.203333,6.275188,0
2000-03-21,8.390000,8.860000,8.010000,8.786666,6.721412,16242000
2000-03-22,9.053333,9.490000,8.896666,9.243333,7.070744,17970495
2000-03-23,9.300000,9.300000,8.673333,8.763333,6.703565,8820255
2000-03-24,8.673333,8.926666,8.353333,8.776666,6.713763,7855125
2000-03-27,8.800000,8.980000,8.666666,8.760000,6.701013,6087480
2000-03-28,8.723333,9.233333,8.506666,9.086666,6.950900,11243385
2000-03-29,9.600000,9.600000,8.800000,8.836666,6.759660,3956745
2000-03-30,8.686666,8.766666,8.130000,8.350000,6.387382,14269845
2000-03-31,8.216666,8.566666,8.020000,8.376666,6.407780,11642010
2000-04-03,8.420000,8.956666,8.413333,8.850000,6.769861,19019325
2000-04-04,8.633333,8.800000,8.143333,8.143333,6.229291,9979425
2000-04-05,8.730000,8.730000,8.000000,8.130000,6.219091,8962545
2000-04-06,8.233333,8.266666,7.600000,7.853333,6.007454,7748970
2000-04-07,7.986666,8.333333,7.933333,8.206666,6.277738,19780725
2000-04-10,8.300000,8.680000,8.200000,8.370000,6.402681,24896040
2000-04-11,8.220000,8.333333,7.733333,8.200000,6.272637,9395145
2000-04-12,8.266666,8.560000,8.233333,8.260000,6.318538,10662900
2000-04-13,8.086666,8.180000,7.833333,8.023333,6.137496,8783490
2000-04-14,8.023333,8.023333,8.023333,8.023333,6.137496,0
2000-04-17,7.866666,8.000000,7.400000,7.813333,5.976855,8322165
2000-04-18,7.930000,7.990000,7.313333,7.420000,5.675973,15023130
2000-04-19,7.630000,7.630000,6.826666,6.840000,5.232299,22521990
